Date,Price
01/01/2021,49.55
04/01/2021,52.03
05/01/2021,52.38
06/01/2021,52.55
07/01/2021,55.53
08/01/2021,56.4
11/01/2021,58.47
12/01/2021,60.8
13/01/2021,60.83
14/01/2021,59.55
15/01/2021,59.8
18/01/2021,57.15
19/01/2021,59.33
20/01/2021,60.85
21/01/2021,59.75
22/01/2021,61.13
25/01/2021,58.7
27/01/2021,57.58
28/01/2021,56.38
29/01/2021,55.4
01/02/2021,61.03
02/02/2021,66.15
03/02/2021,67.22
04/02/2021,67.95
05/02/2021,65.82
08/02/2021,67.93
09/02/2021,67.38
10/02/2021,66.95
11/02/2021,67.53
12/02/2021,64.13
15/02/2021,65.2
16/02/2021,64.38
17/02/2021,66.1
18/02/2021,64.72
19/02/2021,61.7
22/02/2021,61.08
23/02/2021,62.92
24/02/2021,63.28
25/02/2021,65.57
26/02/2021,64.43
01/03/2021,64.82
02/03/2021,66.28
03/03/2021,65.72
04/03/2021,65.47
05/03/2021,63.1
08/03/2021,62.9
09/03/2021,61.7
10/03/2021,61.95
12/03/2021,61.03
15/03/2021,60.75
16/03/2021,61.63
17/03/2021,58.58
18/03/2021,56.6
19/03/2021,58.15
22/03/2021,56.88
23/03/2021,57.38
24/03/2021,56.08
25/03/2021,54.9
26/03/2021,57.03
30/03/2021,56.83
31/03/2021,56.75
01/04/2021,59.08
05/04/2021,56.67
06/04/2021,56.25
07/04/2021,58.38
08/04/2021,61.38
09/04/2021,60.6
12/04/2021,56.08
13/04/2021,57.65
15/04/2021,56
16/04/2021,56.83
19/04/2021,54.95
20/04/2021,56.42
22/04/2021,56.55
23/04/2021,55.65
26/04/2021,57.05
27/04/2021,57.8
28/04/2021,58.47
29/04/2021,57.55
30/04/2021,56.35
03/05/2021,55.92
04/05/2021,55.4
05/05/2021,56.08
06/05/2021,57.03
07/05/2021,57.13
10/05/2021,58
11/05/2021,57.88
12/05/2021,56.72
14/05/2021,56.05
17/05/2021,57.7
18/05/2021,61.47
19/05/2021,62.4
20/05/2021,62.92
21/05/2021,62.72
24/05/2021,62.5
25/05/2021,63.17
26/05/2021,62.75
27/05/2021,63.2
28/05/2021,62.3
31/05/2021,61.72
01/06/2021,60.83
02/06/2021,62.05
03/06/2021,62.17
04/06/2021,64.2
07/06/2021,64.2
08/06/2021,64.88
09/06/2021,63.33
10/06/2021,63.42
11/06/2021,65.93
14/06/2021,64.88
15/06/2021,64.47
16/06/2021,62.95
17/06/2021,60.6
18/06/2021,58.22
21/06/2021,58.63
22/06/2021,59.22
23/06/2021,59.55
24/06/2021,59.1
25/06/2021,61.7
28/06/2021,62.38
29/06/2021,61.78
30/06/2021,61.3
01/07/2021,61.22
02/07/2021,61.22
05/07/2021,62.45
06/07/2021,61.1
07/07/2021,61.78
08/07/2021,62
09/07/2021,62.45
12/07/2021,62.95
13/07/2021,63.5
14/07/2021,63.95
15/07/2021,64.4
16/07/2021,63.92
19/07/2021,62.38
20/07/2021,61.67
22/07/2021,62.03
23/07/2021,62.15
26/07/2021,60.92
27/07/2021,61.2
