Date,Price
01-01-2021,527.5
02-01-2021,603.8
03-01-2021,608.35
04-01-2021,594.4
06-01-2021,650.1
07-01-2021,630.85
09-01-2021,719.9
10-01-2021,692.35
11-01-2021,803.9
12-01-2021,727.7
02-02-2021,617.35
03-02-2021,610.5
06-02-2021,648.35
07-02-2021,640.25
08-02-2021,681.4
09-02-2021,725.15
11-02-2021,800.95
12-02-2021,722.4
02-03-2021,622.35
03-03-2021,632.1
05-03-2021,596.75
06-03-2021,650.25
08-03-2021,690.4
09-03-2021,724.3
11-03-2021,785.95
12-03-2021,716.3
01-04-2021,531.7
02-04-2021,628.3
03-04-2021,620.75
05-04-2021,591.55
06-04-2021,642.7
08-04-2021,714.65
10-04-2021,700.2
11-04-2021,782.1
01-05-2021,537.25
02-05-2021,614.15
03-05-2021,609.45
04-05-2021,571.25
05-05-2021,602.8
07-05-2021,647.85
08-05-2021,702.45
10-05-2021,697.1
01-06-2021,546.7
04-06-2021,565.9
05-06-2021,608.2
07-06-2021,650.3
08-06-2021,697.65
09-06-2021,721.15
10-06-2021,689.5
12-06-2021,709.55
01-07-2021,541.1
04-07-2021,577.65
05-07-2021,607.1
06-07-2021,648.2
07-07-2021,654
09-07-2021,716.9
10-07-2021,702.2
12-07-2021,734.65
01-08-2021,542.05
02-08-2021,629.6
03-08-2021,608.05
04-08-2021,576.7
06-08-2021,642.4
07-08-2021,641.9
09-08-2021,720.95
10-08-2021,703.4
11-08-2021,780.15
12-08-2021,753.4
02-09-2021,633.35
03-09-2021,625.1
04-09-2021,566.2
06-09-2021,636.1
07-09-2021,638.55
08-09-2021,702.85
09-09-2021,720.25
11-09-2021,786.55
12-09-2021,755
02-10-2021,632.15
03-10-2021,625.6
05-10-2021,613.25
06-10-2021,640.4
08-10-2021,700.9
11-10-2021,780.9
12-10-2021,758
01-11-2021,544.7
02-11-2021,630.65
05-11-2021,609.85
06-11-2021,635.7
08-11-2021,693.55
10-11-2021,713.3
11-11-2021,771.45
01-12-2021,548
02-12-2021,647.6
03-12-2021,612.85
04-12-2021,538.55
05-12-2021,594.75
07-12-2021,646.25
08-12-2021,701.35
10-12-2021,708.6
11-12-2021,776.6
02-01-2022,810.3
04-01-2022,736.25
06-01-2022,752.65
07-01-2022,703.9
08-01-2022,823.4
09-01-2022,874.35
11-01-2022,908.6
12-01-2022,940.2
02-02-2022,813.75
03-02-2022,714.85
05-02-2022,741
06-02-2022,749.75
08-02-2022,817.75
09-02-2022,872.4
11-02-2022,904.7
12-02-2022,930.6
01-03-2022,764.7
02-03-2022,808.95
03-03-2022,698.3
06-03-2022,744.3
08-03-2022,824.8
10-03-2022,848.35
11-03-2022,908.65
01-04-2022,772.85
02-04-2022,805.05
03-04-2022,688.05
04-04-2022,746.6
05-04-2022,724.25
07-04-2022,720.1
08-04-2022,820.25
10-04-2022,867.65
11-04-2022,905.3
01-05-2022,788.05
04-05-2022,741.8
05-05-2022,728.8
07-05-2022,719.45
08-05-2022,838.2
09-05-2022,882.45
12-05-2022,933.6
01-06-2022,785.05
04-06-2022,741.6
05-06-2022,719.25
06-06-2022,746.75
07-06-2022,725.95
09-06-2022,883.65
10-06-2022,885.45
12-06-2022,922.65
01-07-2022,793.25
02-07-2022,786.4
03-07-2022,653.75
04-07-2022,748.55
06-07-2022,735.25
07-07-2022,742
09-07-2022,876.2
10-07-2022,882.55
11-07-2022,917.5
12-07-2022,922.15
02-08-2022,792.5
03-08-2022,665
04-08-2022,754.3
06-08-2022,729.5
07-08-2022,755.7
08-08-2022,836.95
09-08-2022,898.8
12-08-2022,931.9
02-09-2022,802.8
03-09-2022,667.45
05-09-2022,710.35
06-09-2022,732.75
09-09-2022,901.25
11-09-2022,910.5
12-09-2022,929.9
01-10-2022,810.75
02-10-2022,805.5
03-10-2022,676.6
05-10-2022,711.3
06-10-2022,720
08-10-2022,848.75
10-10-2022,881.75
11-10-2022,910.7
01-11-2022,810.65
02-11-2022,790.8
03-11-2022,677.9
04-11-2022,759.6
05-11-2022,714.2
07-11-2022,769.5
08-11-2022,859.7
10-11-2022,870.6
11-11-2022,906.55
01-12-2022,823.75
04-12-2022,763.85
